time,selected_tau,r2_scores,current_q,ref_q_current,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau
2.03333333313,1,"{'1': -2.695250241523663, '2': -inf}",61.83830055011728,61.83830055011728,142.64439676301396,192.52975224958266,168.31697608638092,171.68302391361905
2.0666666664599997,1,"{'1': -2.737171091267135, '2': -inf}",62.47750143026493,62.47750143026493,130.7642141967668,206.04736143782796,165.71781727358416,174.28218272641584
2.09999999979,1,"{'1': -2.7312908925321007, '2': -inf}",63.03439304384696,63.03439304384696,167.32575461893867,171.2733366632594,163.24397587230095,176.75602412769902
2.13333333312,1,"{'1': -2.844587678928475, '2': -inf}",63.26915071029948,63.26915071029948,213.1749921531798,119.3832752959276,160.76735325699883,179.23264674300117
2.16666666645,1,"{'1': -3.05582514853051, '2': -inf}",63.27670644018509,63.27670644018509,228.1586162832265,99.15717577291156,158.03458501772508,181.9654149822749
2.19999999978,1,"{'1': -3.03975457817824, '2': -inf}",63.25042242203494,63.25042242203494,170.40491996265283,158.04511613619178,155.26901804190862,184.73098195809135
2.23333333311,1,"{'1': -2.9975130094954565, '2': -inf}",63.2425352507355,63.2425352507355,165.538570677425,177.6202501743014,152.62040306600466,187.37959693399532
2.26666666644,1,"{'1': -2.9369634234658006, '2': -inf}",63.16477350995648,63.16477350995648,153.8656818018321,186.9935759810641,150.01060511037878,189.9893948896212
2.29999999977,1,"{'1': -2.928847905860065, '2': -inf}",63.05158815694334,63.05158815694334,104.65554287241167,234.79148937881877,147.36421372441123,192.6357862755888
2.3333333331,1,"{'1': -2.8396382530757562, '2': -inf}",62.95711960174546,62.95711960174546,148.29652899477443,196.8023487465215,145.0588402939939,194.9411597060061
2.36666666643,1,"{'1': -2.7466094239780396, '2': -inf}",62.66659578158524,62.66659578158524,157.27626176859843,188.3940324316942,143.2854628757879,196.7145371242121
2.39999999976,1,"{'1': -2.6811881696123527, '2': -inf}",62.04206072537576,62.04206072537576,111.90121209864776,229.552739124785,142.38024649398344,197.61975350601656
2.4333333330899998,1,"{'1': -2.6553160912019176, '2': -inf}",60.84080239764061,60.84080239764061,97.65027337264046,235.5997500421174,143.52326807315313,196.47673192684687
2.46666666642,1,"{'1': -2.579697270545855, '2': -inf}",58.263891800036426,58.263891800036426,148.18390778591478,181.31314681773551,144.43859173541566,195.56140826458437
2.49999999975,1,"{'1': -2.5590321170528756, '2': -inf}",55.9320196443191,55.9320196443191,110.75359657495554,235.4494374751488,145.78551988522582,194.21448011477415
