time,current_q,ref_q_current,predicted_ca_cb_at_tau,true_ca_cb_at_tau,selected_tau,r2_scores
2.23333333311,[63.2425352507355],[63.2425352507355],"[146.282084919967, 191.70941573388035]","[152.62040306600466, 187.37959693399532]",1,{'1': -3.272340329253117}
2.26666666644,[63.16477350995648],[63.16477350995648],"[130.68756525163258, 211.7833609236568]","[150.01060511037878, 189.9893948896212]",1,{'1': -3.2233418108251817}
2.29999999977,[63.05158815694334],[63.05158815694334],"[136.4975698488282, 202.55861676049585]","[147.36421372441123, 192.6357862755888]",1,{'1': -3.1463378499611814}
2.3333333331,[62.95711960174546],[62.95711960174546],"[184.73793084230243, 143.13006024141444]","[145.0588402939939, 194.9411597060061]",1,{'1': -3.1298699502473424}
2.36666666643,[62.66659578158524],[62.66659578158524],"[159.33455787145158, 177.3212887479011]","[143.2854628757879, 196.7145371242121]",1,{'1': -3.0360284809336164}
2.39999999976,[62.04206072537576],[62.04206072537576],"[153.60846838974675, 195.00110727074917]","[142.38024649398344, 197.61975350601656]",1,{'1': -2.9314098410458884}
2.4333333330899998,[60.84080239764061],[60.84080239764061],"[88.1029277764755, 253.79035578269557]","[143.52326807315313, 196.47673192684687]",1,{'1': -2.9457221502657114}
2.46666666642,[58.263891800036426],[58.263891800036426],"[101.35174097911187, 238.77348956691864]","[144.43859173541566, 195.56140826458437]",1,{'1': -2.9219666591154727}
2.49999999975,[55.9320196443191],[55.9320196443191],"[100.02495658441535, 238.26267000553673]","[145.78551988522582, 194.21448011477415]",1,{'1': -2.9127760497669044}
2.53333333308,[53.52631775286317],[53.52631775286317],"[130.5642961977213, 207.3517635450639]","[149.33046215167786, 190.6695378483221]",1,{'1': -2.8692483877565285}
2.5666666664099997,[49.87817447239286],[49.87817447239286],"[190.38736590351962, 156.152136302719]","[152.17895994879265, 187.82104005120732]",1,{'1': -2.8693299743462193}
2.59999999974,[46.9012948499068],[46.9012948499068],"[175.29258867737465, 166.6926575007481]","[155.70063271916246, 184.29936728083757]",1,{'1': -2.855308896238123}
2.63333333307,[43.70659080927688],[43.70659080927688],"[138.75279729621937, 199.2002629104605]","[161.48331378763584, 178.51668621236414]",1,{'1': -2.861373804431898}
2.6666666664,[39.15854520762333],[39.15854520762333],"[132.3674540577589, 208.80508412040862]","[165.52626555248716, 174.47373444751284]",1,{'1': -2.894787744937075}
2.69999999973,[35.965653265092854],[35.965653265092854],"[147.56037972176594, 191.70675960693526]","[169.13698812713545, 170.86301187286452]",1,{'1': -2.9088575451348646}
2.73333333306,[33.28190476865061],[33.28190476865061],"[159.54223520264748, 175.50894529482304]","[173.3067205364161, 166.69327946358388]",1,{'1': -2.9117154109105896}
2.76666666639,[30.302184874039355],[30.302184874039355],"[180.62880201727552, 152.07717028186198]","[175.9732996602432, 164.0267003397568]",1,{'1': -2.9099136807996313}
2.79999999972,[28.338691709047986],[28.338691709047986],"[173.60857194687298, 159.82924227922226]","[178.16692270531607, 161.8330772946839]",1,{'1': -2.902124987068463}
2.83333333305,[26.6296957260104],[26.6296957260104],"[173.2135641693789, 167.3774647986744]","[180.1533584566393, 159.8466415433607]",1,{'1': -2.891190587426489}
2.86666666638,[24.969000626709256],[24.969000626709256],"[130.50778757621867, 209.97570144805383]","[180.74222779600672, 159.25777220399328]",1,{'1': -2.956556959324768}
2.89999999971,[24.23540237644368],[24.23540237644368],"[154.06637777914565, 182.30682440873807]","[180.72003388675225, 159.27996611324775]",1,{'1': -2.961697253829858}
2.9333333330399998,[23.868079207681436],[23.868079207681436],"[150.15083354549236, 186.37624089774008]","[180.1907434950206, 159.8092565049794]",1,{'1': -2.973843708321436}
2.96666666637,[23.843082349673097],[23.843082349673097],"[180.69744542754788, 154.418113651905]","[179.47973544948053, 160.52026455051947]",1,{'1': -2.9634250947422642}
2.9999999997,[23.90256593691058],[23.90256593691058],"[144.34533184224298, 194.54629985985164]","[178.71220512690772, 161.28779487309225]",1,{'1': -2.9893613151587535}
3.03333333303,[23.955536097030443],[23.955536097030443],"[166.86266964051111, 171.69837757262974]","[177.76381274792976, 162.23618725207024]",1,{'1': -2.9851750150333656}
3.0666666663599997,[24.05915570836883],[24.05915570836883],"[142.31441056952355, 189.9316199972488]","[176.679823926877, 163.320176073123]",1,{'1': -3.0086959636520882}
3.09999999969,[24.21272430834161],[24.21272430834161],"[142.21887738134816, 191.67413383968037]","[175.52769543521367, 164.4723045647863]",1,{'1': -3.0332817721550853}
3.13333333302,[24.36563720590715],[24.36563720590715],"[138.5887152695596, 196.59702804894295]","[174.39630805647982, 165.60369194352018]",1,{'1': -3.0652410818229887}
3.16666666635,[24.486390791264057],[24.486390791264057],"[131.88756820260306, 204.57695033321315]","[173.3142524206961, 166.6857475793039]",1,{'1': -3.1121276352442386}
3.19999999968,[24.578053698177825],[24.578053698177825],"[143.0751239829295, 196.97729646360048]","[172.09658414894793, 167.90341585105207]",1,{'1': -3.137405882946359}
3.23333333301,[24.74592279006032],[24.74592279006032],"[154.33354620775162, 183.75301672476795]","[170.90549947948205, 169.09450052051795]",1,{'1': -3.144794793321301}
3.26666666634,[24.909449246430786],[24.909449246430786],"[157.80560351388783, 179.29474459988168]","[169.7884746023871, 170.2115253976129]",1,{'1': -3.1482499152290835}
3.29999999967,[25.026812956757635],[25.026812956757635],"[155.68266685593608, 183.06309062387274]","[168.7085143361744, 171.2914856638256]",1,{'1': -3.1527561184649713}
3.333333333,[25.120317787073944],[25.120317787073944],"[158.02325114293626, 177.1761846485611]","[167.7346267789862, 172.2653732210138]",1,{'1': -3.0557831219192257}
3.36666666633,[25.13748263806669],[25.13748263806669],"[142.69244846713445, 192.10945186267227]","[166.8009732068548, 173.1990267931452]",1,{'1': -2.973604010668844}
3.39999999966,[25.12438614407568],[25.12438614407568],"[148.5876436096736, 190.23931515548614]","[165.88325110340108, 174.11674889659892]",1,{'1': -2.8887019033668206}
3.4333333329899998,[25.09494159085273],[25.09494159085273],"[170.62053674689062, 169.67855702763035]","[164.9428448552629, 175.05715514473707]",1,{'1': -2.8017221496653564}
