time,selected_tau,r2_tau_0,r2_tau_1,r2_tau_2,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau,r2_tau_3,r2_tau_4,r2_tau_5,r2_tau_6
28.2,3,,,0.9297861839766699,193.75208469848872,146.9495328636464,191.98339609175432,148.01660390824568,0.9320896678204649,0.9239257483898612,,
28.2,3,,,0.9297861839766699,193.75208469848872,146.9495328636464,191.98339609175432,148.01660390824568,0.9320896678204649,0.9239257483898612,,
28.233333333333334,3,,,0.9300358829037715,198.7078161485091,141.93950419460126,192.0307704554475,147.96922954455246,0.9321979482553294,0.92353320160242,,
28.233333333333334,3,,,0.9300358829037715,198.7078161485091,141.93950419460126,192.0307704554475,147.96922954455246,0.9321979482553294,0.92353320160242,,
28.266666666666666,3,,,0.9300636023041868,200.3801009837063,140.53999157539792,192.1114105072823,147.88858949271767,0.9318418951474101,0.9236221660086339,,
28.266666666666666,3,,,0.9300636023041868,200.3801009837063,140.53999157539792,192.1114105072823,147.88858949271767,0.9318418951474101,0.9236221660086339,,
28.3,3,,,0.9300659820106059,196.1162012237873,144.95815706174184,192.21291842013756,147.78708157986247,0.9318752351611852,0.9242815382169745,,
28.3,3,,,0.9300659820106059,196.1162012237873,144.95815706174184,192.21291842013756,147.78708157986247,0.9318752351611852,0.9242815382169745,,
28.333333333333332,3,,,0.9302580363073365,188.3866497709525,152.31286468062217,192.04760479319648,147.95239520680352,0.9318804838487179,0.9183802171936247,,
28.333333333333332,3,,,0.9302580363073365,188.3866497709525,152.31286468062217,192.04760479319648,147.95239520680352,0.9318804838487179,0.9183802171936247,,
28.366666666666667,3,,,0.9301990967751073,178.43651974831636,161.38041801764115,162.5059661387539,177.4940338612461,0.9293622639334136,0.9163675916323779,,
28.366666666666667,3,,,0.9301990967751073,178.43651974831636,161.38041801764115,162.5059661387539,177.4940338612461,0.9293622639334136,0.9163675916323779,,
28.4,3,,,0.9276647806876105,167.23135882435582,172.28149802400569,157.62361034116725,182.37638965883275,0.9284308486050086,0.9165519869642187,,
28.4,3,,,0.9276647806876105,167.23135882435582,172.28149802400569,157.62361034116725,182.37638965883275,0.9284308486050086,0.9165519869642187,,
28.433333333333334,3,,,0.9270198834058979,155.69601413285625,184.31958884806664,153.51292249504974,186.48707750495024,0.9284931774742665,0.9171442264512426,,
28.433333333333334,3,,,0.9270198834058979,155.69601413285625,184.31958884806664,153.51292249504974,186.48707750495024,0.9284931774742665,0.9171442264512426,,
28.466666666666665,3,,,0.9271072957912958,147.75683932943357,192.4533427099111,149.98706977568844,190.0129302243116,0.9289619125617582,0.9181015515056221,,
28.466666666666665,3,,,0.9271072957912958,147.75683932943357,192.4533427099111,149.98706977568844,190.0129302243116,0.9289619125617582,0.9181015515056221,,
28.5,3,,,0.9274226543898118,143.9263352276479,196.42080432998762,144.99382107487784,195.00617892512213,0.930899413923266,0.9193637227940284,,
28.5,3,,,0.9274226543898118,143.9263352276479,196.42080432998762,144.99382107487784,195.00617892512213,0.930899413923266,0.9193637227940284,,
28.53333333333333,3,,,0.9286439670866302,142.44824947675642,198.26177551592792,141.39684610877902,198.60315389122096,0.9354649591553887,0.9207717515464258,,
28.53333333333333,3,,,0.9286439670866302,142.44824947675642,198.26177551592792,141.39684610877902,198.60315389122096,0.9354649591553887,0.9207717515464258,,
28.566666666666666,3,,,0.9323809041686825,140.5566023728587,200.35887396079278,138.67929916794932,201.32070083205065,0.9361121810203381,0.9222153926789768,,
28.566666666666666,3,,,0.9323809041686825,140.5566023728587,200.35887396079278,138.67929916794932,201.32070083205065,0.9361121810203381,0.9222153926789768,,
28.599999999999998,3,,,0.933142936526004,139.1271369537603,201.46661985642953,137.35898261094536,202.6410173890546,0.9355132565456299,0.9236137531510823,,
28.599999999999998,3,,,0.933142936526004,139.1271369537603,201.46661985642953,137.35898261094536,202.6410173890546,0.9355132565456299,0.9236137531510823,,
28.633333333333333,3,,,0.9324908075076903,139.28319750418817,200.82852297063033,138.15008508195663,201.84991491804337,0.9348025774999054,0.9247292096463239,,
28.633333333333333,3,,,0.9324908075076903,139.28319750418817,200.82852297063033,138.15008508195663,201.84991491804337,0.9348025774999054,0.9247292096463239,,
28.666666666666668,3,,,0.9316514185463775,141.82150524122375,197.90494872015623,141.10037946305445,198.89962053694555,0.9349321532979897,0.9255050618448912,,
28.666666666666668,3,,,0.9316514185463775,141.82150524122375,197.90494872015623,141.10037946305445,198.89962053694555,0.9349321532979897,0.9255050618448912,,
28.7,3,,,0.9318888116696205,145.84656615845782,193.29669603246612,145.2785382831235,194.7214617168765,0.9375941518333618,0.9258227554246804,,
28.7,3,,,0.9318888116696205,145.84656615845782,193.29669603246612,145.2785382831235,194.7214617168765,0.9375941518333618,0.9258227554246804,,
28.733333333333334,3,,,0.934886442573987,154.63943489405762,185.34123703367112,150.3103217983005,189.68967820169948,0.9449050176216622,0.925043054473346,,
28.733333333333334,3,,,0.934886442573987,154.63943489405762,185.34123703367112,150.3103217983005,189.68967820169948,0.9449050176216622,0.925043054473346,,
28.766666666666666,3,,,0.9423615292089836,163.980514616955,175.97609916625157,156.97322174505967,183.02677825494035,0.939957413167561,0.9233545952912466,,
28.766666666666666,3,,,0.9423615292089836,163.980514616955,175.97609916625157,156.97322174505967,183.02677825494035,0.939957413167561,0.9233545952912466,,
28.8,3,,,0.9376881630589338,167.72535816723783,172.6968678156581,162.0448686943121,177.9551313056879,0.9341703064168392,0.9228125175336319,,
28.8,3,,,0.9376881630589338,167.72535816723783,172.6968678156581,162.0448686943121,177.9551313056879,0.9341703064168392,0.9228125175336319,,
28.833333333333332,3,,,0.9319238867154651,169.9800506401312,170.14007034811425,167.06996377079705,172.93003622920293,0.9284731657271583,0.9228272262039082,,
28.833333333333332,3,,,0.9319238867154651,169.9800506401312,170.14007034811425,167.06996377079705,172.93003622920293,0.9284731657271583,0.9228272262039082,,
28.866666666666667,3,,,0.9259002586276432,173.95878774424853,166.51346213517624,173.61968115658226,166.38031884341774,0.9229258469304166,0.9228798927131308,,
28.866666666666667,3,,,0.9259002586276432,173.95878774424853,166.51346213517624,173.61968115658226,166.38031884341774,0.9229258469304166,0.9228798927131308,,
28.9,3,,,0.9200306987827771,181.65319103715794,158.5631884020577,177.9006445588442,162.09935544115578,0.9175401086891994,0.9215919037270446,,
28.9,3,,,0.9200306987827771,181.65319103715794,158.5631884020577,177.9006445588442,162.09935544115578,0.9175401086891994,0.9215919037270446,,
28.933333333333334,3,,,0.9145302372620393,191.18348420061912,149.4834697414196,181.10960775807217,158.89039224192783,0.9124517452484969,0.915299805616784,,
28.933333333333334,3,,,0.9145302372620393,191.18348420061912,149.4834697414196,181.10960775807217,158.89039224192783,0.9124517452484969,0.915299805616784,,
28.966666666666665,4,,,,212.72354702781934,127.97441962266326,221.91483856375663,118.08516143624335,0.9054915635748995,0.9175441533613237,-inf,
28.966666666666665,4,,,,212.72354702781934,127.97441962266326,221.91483856375663,118.08516143624335,0.9054915635748995,0.9175441533613237,-inf,
29.0,4,,,,220.0953879354259,120.42304406943656,221.702515347637,118.29748465236298,0.905382296015829,0.9209444718253181,-inf,
29.0,4,,,,220.0953879354259,120.42304406943656,221.702515347637,118.29748465236298,0.905382296015829,0.9209444718253181,-inf,
29.03333333333333,5,,,,223.98962735286136,115.97779033403108,221.84813773776403,118.15186226223597,,0.9241346632110826,0.9975922356242024,-inf
29.03333333333333,5,,,,223.98962735286136,115.97779033403108,221.84813773776403,118.15186226223597,,0.9241346632110826,0.9975922356242024,-inf
29.066666666666666,5,,,,222.08648824172542,117.82473557283926,221.77365397059344,118.22634602940656,,0.9270448336938301,0.998377325516142,-inf
29.066666666666666,5,,,,222.08648824172542,117.82473557283926,221.77365397059344,118.22634602940656,,0.9270448336938301,0.998377325516142,-inf
29.099999999999998,5,,,,220.13729347144132,119.96826821503407,219.6079430515459,120.39205694845408,,0.9297491046830101,0.9987351778817398,0.9988790264536102
29.099999999999998,5,,,,220.13729347144132,119.96826821503407,219.6079430515459,120.39205694845408,,0.9297491046830101,0.9987351778817398,0.9988790264536102
29.133333333333333,5,,,,218.71449691308482,121.69048759126827,213.83083317562472,126.16916682437528,,0.9319501429311079,0.9971654101488584,0.9950264623534575
29.133333333333333,5,,,,218.71449691308482,121.69048759126827,213.83083317562472,126.16916682437528,,0.9319501429311079,0.9971654101488584,0.9950264623534575
29.166666666666668,5,,,,212.6237289086354,129.03598540287427,205.9182586681723,134.08174133182766,,0.9333914729136046,0.9948668456098024,0.9896024371409089
29.166666666666668,5,,,,212.6237289086354,129.03598540287427,205.9182586681723,134.08174133182766,,0.9333914729136046,0.9948668456098024,0.9896024371409089
29.2,5,,,,196.62164929042805,143.98982054004475,195.859938770972,144.14006122902802,,0.934484569644888,0.9950843501504928,0.990138858358295
29.2,5,,,,196.62164929042805,143.98982054004475,195.859938770972,144.14006122902802,,0.934484569644888,0.9950843501504928,0.990138858358295
29.233333333333334,5,,,,188.0596429622913,151.54432658892335,188.76660939130323,151.23339060869677,,0.9350432987005306,0.9951815089064631,0.990327168399299
29.233333333333334,5,,,,188.0596429622913,151.54432658892335,188.76660939130323,151.23339060869677,,0.9350432987005306,0.9951815089064631,0.990327168399299
